wl,Vlambda,Vprime,Vlambda/mac,Scone/mac,Melanopsin,Scone,ybar
638.000000000,0.191182596,0.001757000,0.187454354,0.000000000,0.000311000,0.000000000,0.191155200
639.000000000,0.183103839,0.001627000,0.179533140,0.000000000,0.000288000,0.000000000,0.182974400
640.000000000,0.175025081,0.001497000,0.171611925,0.000000000,0.000267000,0.000000000,0.175000000
641.000000000,0.167347181,0.001386500,0.164083751,0.000000000,0.000248000,0.000000000,0.167223500
642.000000000,0.159669280,0.001276000,0.156555577,0.000000000,0.000230000,0.000000000,0.159646400
643.000000000,0.152407990,0.001182000,0.149435889,0.000000000,0.000214000,0.000000000,0.152277600
644.000000000,0.145146699,0.001088000,0.142316200,0.000000000,0.000199000,0.000000000,0.145125900
645.000000000,0.138332923,0.001008000,0.135635299,0.000000000,0.000184000,0.000000000,0.138200000
646.000000000,0.131519147,0.000928000,0.128954398,0.000000000,0.000171000,0.000000000,0.131500300
647.000000000,0.125157685,0.000860000,0.122716991,0.000000000,0.000159000,0.000000000,0.125024800
648.000000000,0.118796223,0.000792000,0.116479584,0.000000000,0.000148000,0.000000000,0.118779200
649.000000000,0.112905779,0.000734500,0.110704009,0.000000000,0.000138000,0.000000000,0.112769100
650.000000000,0.107015335,0.000677000,0.104928434,0.000000000,0.000128000,0.000000000,0.107000000
651.000000000,0.101608881,0.000628000,0.099627411,0.000000000,0.000119000,0.000000000,0.101476200
652.000000000,0.096202426,0.000579000,0.094326387,0.000000000,0.000111000,0.000000000,0.096188640
653.000000000,0.091239820,0.000537500,0.089460556,0.000000000,0.000103000,0.000000000,0.091122960
654.000000000,0.086277214,0.000496000,0.084594726,0.000000000,0.000095800,0.000000000,0.086264850
655.000000000,0.081704453,0.000460500,0.080111139,0.000000000,0.000089200,0.000000000,0.081600000
656.000000000,0.077131693,0.000425000,0.075627551,0.000000000,0.000083000,0.000000000,0.077120640
657.000000000,0.072925810,0.000394750,0.071503687,0.000000000,0.000077300,0.000000000,0.072825520
658.000000000,0.068719927,0.000364500,0.067379823,0.000000000,0.000072000,0.000000000,0.068710080
659.000000000,0.064864335,0.000338700,0.063599419,0.000000000,0.000067100,0.000000000,0.064769760
660.000000000,0.061008743,0.000312900,0.059819014,0.000000000,0.000062500,0.000000000,0.061000000
661.000000000,0.057485758,0.000290900,0.056364731,0.000000000,0.000058200,0.000000000,0.057396210
662.000000000,0.053962773,0.000268900,0.052910448,0.000000000,0.000054300,0.000000000,0.053955040
663.000000000,0.050759619,0.000250100,0.049769758,0.000000000,0.000050600,0.000000000,0.050673760
664.000000000,0.047556465,0.000231300,0.046629068,0.000000000,0.000047100,0.000000000,0.047549650
665.000000000,0.044660585,0.000215200,0.043789661,0.000000000,0.000044000,0.000000000,0.044580000
