730,2.15,2.01,1.23,1.21,0.93,0.74,0.71,5.12,3.39
731,2.09,1.96,1.19,1.18,0.91,0.72,0.68,4.99,3.3
732,2.04,1.9,1.16,1.15,0.88,0.7,0.67,4.86,3.2
733,1.98,1.85,1.12,1.12,0.86,0.68,0.65,4.73,3.12
734,1.93,1.8,1.09,1.1,0.84,0.66,0.63,4.59,3.03
735,1.87,1.75,1.06,1.07,0.82,0.65,0.61,4.46,2.95
736,1.82,1.7,1.03,1.05,0.8,0.63,0.58,4.33,2.87
737,1.77,1.65,1,1.02,0.78,0.62,0.57,4.21,2.79
738,1.72,1.61,0.97,1,0.76,0.6,0.56,4.1,2.72
739,1.68,1.56,0.94,0.97,0.74,0.59,0.54,3.99,2.65
740,1.63,1.52,0.91,0.95,0.72,0.57,0.53,3.88,2.58
741,1.59,1.48,0.88,0.93,0.7,0.56,0.52,3.77,2.51
742,1.55,1.44,0.86,0.91,0.69,0.55,0.5,3.66,2.43
743,1.5,1.4,0.83,0.89,0.67,0.54,0.49,3.56,2.36
744,1.46,1.36,0.81,0.87,0.65,0.52,0.47,3.46,2.3
745,1.42,1.32,0.78,0.85,0.64,0.51,0.45,3.37,2.24
746,1.39,1.29,0.76,0.83,0.62,0.5,0.45,3.28,2.18
747,1.35,1.25,0.74,0.81,0.6,0.49,0.43,3.19,2.13
748,1.32,1.22,0.72,0.79,0.59,0.48,0.42,3.1,2.07
749,1.28,1.18,0.7,0.77,0.57,0.47,0.4,3.02,2.01
750,1.25,1.15,0.68,0.75,0.56,0.46,0.4,2.94,1.95
751,1.22,1.12,0.66,0.73,0.55,0.45,0.39,2.85,1.89
752,1.19,1.08,0.64,0.72,0.53,0.44,0.37,2.78,1.84
