575,15.740,19.220,20.885,22.022,16.106,19.822,12.886,11.975,14.020,2.866,2.649,3.661
576,19.347,22.468,24.161,25.432,19.521,22.874,16.531,15.738,17.695,5.280,4.743,5.333
577,27.716,29.939,31.589,33.074,27.394,29.970,24.918,24.316,26.067,10.464,9.111,8.614
578,15.762,19.399,21.233,22.617,15.990,19.862,12.894,12.074,14.212,4.195,4.139,5.328
579,29.305,31.244,33.018,34.562,28.828,31.144,26.651,26.250,27.839,26.201,26.020,25.862
580,18.499,21.860,23.777,25.329,18.486,22.130,15.660,15.002,17.061,9.732,9.747,10.744
581,15.699,19.443,21.419,23.029,15.788,19.759,12.882,12.184,14.377,5.972,6.078,7.401
582,15.659,19.428,21.444,23.124,15.702,19.695,12.873,12.222,14.425,6.639,6.793,8.152
583,15.609,19.397,21.451,23.198,15.607,19.615,12.862,12.261,14.470,10.374,9.853,10.608
584,15.549,19.351,21.440,23.250,15.503,19.520,12.847,12.300,14.512,31.264,31.223,29.629
585,15.480,19.290,21.410,23.280,15.390,19.410,12.830,12.340,14.550,18.528,17.853,17.702
586,15.387,19.196,21.338,23.261,15.259,19.271,12.805,12.378,14.579,9.755,10.046,11.469
587,15.283,19.085,21.244,23.215,15.117,19.115,12.776,12.416,14.603,10.464,10.887,12.349
588,15.168,18.958,21.130,23.145,14.966,18.944,12.744,12.454,14.623,11.205,11.679,13.155
589,15.043,18.816,20.998,23.053,14.807,18.758,12.708,12.492,14.638,11.788,12.311,13.812
590,14.910,18.660,20.850,22.940,14.640,18.560,12.670,12.530,14.650,12.160,12.730,14.270
591,14.773,18.497,20.694,22.816,14.468,18.352,12.630,12.568,14.658,11.817,12.434,14.091
592,14.628,18.322,20.524,22.674,14.289,18.133,12.588,12.605,14.663,11.267,11.929,13.712
593,14.476,18.135,20.340,22.513,14.105,17.904,12.544,12.643,14.665,10.570,11.273,13.182
594,14.316,17.938,20.142,22.335,13.915,17.666,12.498,12.682,14.664,9.785,10.524,12.548
595,14.150,17.730,19.930,22.140,13.720,17.420,12.450,12.720,14.660,8.970,9.740,11.860
596,13.975,17.509,19.700,21.923,13.522,17.167,12.401,12.760,14.655,8.320,9.102,11.219
597,13.794,17.278,19.458,21.690,13.320,16.907,12.351,12.799,14.647,7.725,8.515,10.605
598,13.608,17.040,19.205,21.442,13.114,16.640,12.299,12.839,14.637,7.210,8.006,10.055
599,13.416,16.793,18.942,21.182,12.904,16.368,12.245,12.880,14.625,6.800,7.601,9.601
600,13.220,16.540,18.670,20.910,12.690,16.090,12.190,12.920,14.610,6.520,7.330,9.280
601,13.020,16.283,18.393,20.633,12.470,15.807,12.132,12.959,14.591,6.612,7.450,9.394
602,12.817,16.021,18.109,20.346,12.248,15.520,12.072,12.999,14.570,6.831,7.699,9.643
